run,mean_return_drone,mean_return_rover,std_return_drone,std_return_rover,mean_ep_length,std_ep_length,critic_loss,drone_actor_loss,rover_actor_loss,drone_entropy,rover_entropy,drone_grad_norm,rover_grad_norm,critic_grad_norm
0,-3.734812834587636,-4.3532551444316185,1.4608648751985545,1.8790450203237827,185.484375,16.571334613101474,0.02470698119486328,-0.039423868311644406,-0.04258244172782911,1.7852906733510308,1.703114267926653,0.2571779191493988,0.06243138760328293,0.2763057351112366
1,-2.864838380110621,-3.901626632793101,1.1424338220919346,1.9187015020027378,201.7109375,19.354082395481676,0.019091045469769488,-0.04324259394872011,-0.040901923802967116,1.7491106180861444,1.6611312003907666,0.3437301814556122,0.21944482624530792,0.15292412042617798
2,-2.3835658654635843,-3.01039284421754,1.102510500568376,1.5584254077384787,208.59375,22.26805359562214,0.01468940984096231,-0.04424870404811424,-0.04254592560369824,1.6860087805672697,1.5615555751801393,0.8931117653846741,0.24684838950634003,0.22485008835792542
3,-1.8517569440812258,-2.113078512096755,0.841111007845212,0.9986039888159981,216.5390625,22.770218468892516,0.009121974246106475,-0.04408790498311001,-0.04585886424952423,1.591692725716648,1.4227304941989602,0.555012047290802,0.0,0.22601331770420074
4,-1.4374419852894842,-1.5581228092908606,0.5826568441729228,0.9332957858655871,239.4921875,33.04944120503165,0.005768847182436335,-0.041088742615231204,-0.0361272907341463,1.47848736356345,1.1968464847140807,0.05514783412218094,0.0,0.08739743381738663
5,-0.8762355375747193,-0.7737359653143758,0.4877068628251395,0.40661274715199475,247.125,42.97419283709701,0.0028369526368638765,-0.04049963249947236,-0.03981970680087353,1.3741219185337876,1.066451553987772,0.37319761514663696,0.3271959125995636,0.07936079055070877
6,-0.577871735442437,-0.07686583431864788,0.5183455533310912,0.41929272843865456,261.53125,57.15097023181234,0.0021057818541938117,-0.038334412501150925,-0.0306528739633842,1.2438391238223505,0.7946005952258359,0.5940821766853333,0.0,0.08266276866197586
7,-0.26615564005359743,0.13476837928893715,0.5234415124849703,0.35229430908028,265.125,85.4104977447152,0.001717954297000448,-0.0325831712919889,-0.025446146659959958,1.1136003712027311,0.6108170703067506,0.21302340924739838,0.6922396421432495,0.039331648498773575
8,-0.061160181019947316,0.5561374563615917,0.5255929987297691,0.2639778204991981,279.21875,100.8484272234203,0.001400779031269631,-0.025958603189355146,-0.013578233222538781,0.9872957671797553,0.35568425461853154,0.14559867978096008,0.5708413124084473,0.072542205452919
9,0.18985769353777798,0.7325721275417628,0.46583120825446817,0.22898290629150034,264.828125,105.25364522896285,0.001333946368296275,-0.021457076013826255,-0.009103395998014472,0.9352143679587346,0.2415650056272071,0.06209765374660492,0.6303386092185974,0.03185587376356125
10,0.33099603518251897,0.7995189419858713,0.44688006200796226,0.18313699371804515,253.96875,109.80016916397489,0.0014872022106964874,-0.018935568213433496,-0.005781340574768672,0.823679622033919,0.1997315133096858,0.04857036471366882,0.1222846657037735,0.0027295080944895744
11,0.45432808238208466,0.8206504257952234,0.33262735825687295,0.15652558818930748,263.875,115.22362767679205,0.0014209541300619038,-0.01518413304434172,-0.003908262375184815,0.7432352775877172,0.13774748280410093,0.07570783793926239,0.0,0.03199654072523117
12,0.554240458731224,0.6744997789953462,0.26986576503481924,0.286884931569744,262.1484375,116.51267969113316,0.0017864050430861035,-0.01275547799920397,-0.0027414710121672777,0.6991899694601694,0.1524513107096159,0.05361279845237732,0.0,0.019299877807497978
13,0.5961135561538848,0.5170926679987227,0.30245556047151356,0.418011640509093,259.9609375,116.275629052786,0.002030114808473557,-0.01084375497688038,-0.0038724671064455135,0.6683521012961865,0.17523579427852753,0.11751801520586014,0.0,0.025358159095048904
14,0.6591189709906011,0.5856996254887905,0.23515045758376113,0.38830062523718395,264.0,117.03932298590931,0.0016837730665539505,-0.010001084875230761,-0.0018321367927869273,0.691423799752286,0.16813842961091197,0.03178376704454422,0.09078101068735123,0.004550108686089516
15,0.6688520470951853,0.5795498395659316,0.2510478666323553,0.44649412733938276,265.7265625,115.59511200493554,0.0017650260833351123,-0.009627424250794504,-0.002339409573154202,0.6877675617323782,0.17417797451817563,0.09982520341873169,1.1202608346939087,0.04106824845075607
16,0.7061276355899477,0.5473514545156616,0.21268937591846906,0.2878548027596536,280.7578125,114.66171345621363,0.0015083785315277883,-0.009427376383139993,-0.004239854868066421,0.6355329683666976,0.19823212311097624,0.03432001546025276,0.11110707372426987,0.022544415667653084
17,0.7517864683959946,0.6997017743154604,0.20587085924165996,0.21974991013946366,284.265625,114.65924272974846,0.0013447085282057834,-0.007778785100308212,-0.0016459863742171853,0.6325556619515109,0.13181337025897447,0.024979133158922195,0.0,0.0156708937138319
18,0.782141645957433,0.7230258425288009,0.1833618005663571,0.2595587903694756,261.4296875,115.53000716762872,0.001421385648001825,-0.007521835877070378,-0.003093301808865773,0.6274183203225838,0.12860920323446617,0.031761590391397476,0.0936892181634903,0.009152376092970371
19,0.8064844948497796,0.7344150802729165,0.17652380596422945,0.2355074529975466,268.453125,113.1591011705836,0.0013356961319096225,-0.007044883960861456,-0.0030504641486236435,0.6017744282659427,0.150901034599816,0.15075357258319855,0.0,0.039878129959106445
